BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.50878,-1.25213,-1.02342,-0.350253,-2.24344,-1.40057,-5.5347,0.0376183,0.0688618,0.0476412,6.70025,0.198517,0.138325,155000,171
-2.32402,-1.30995,-1.10374,-0.277822,-2.15428,-1.32844,-5.44873,0.029867,0.080738,0.0494982,6.6226,0.198409,0.141245,156000,173
-2.43865,-1.32222,-1.09082,-0.382328,-2.09208,-1.40037,-4.95545,0.0347773,0.0663699,0.0551854,6.68447,0.199167,0.140188,157000,175
-2.38974,-1.26035,-1.03726,-0.375297,-2.28994,-1.38273,-5.13618,0.0281115,0.0879059,0.0578646,6.7845,0.199202,0.13876,158000,177
-2.28445,-1.22092,-0.989712,-0.410998,-2.29544,-1.33794,-4.24688,0.0339186,0.0647601,0.0464403,6.70217,0.202127,0.142268,159000,179
-2.35508,-1.31755,-1.06621,-0.317325,-2.21467,-1.34572,-3.94607,0.0248606,0.075269,0.0487339,6.65953,0.198811,0.140985,160000,180
-2.3747,-1.25774,-1.01187,-0.38855,-2.28499,-1.33238,-3.706,0.0340211,0.0677586,0.0594711,6.7483,0.198159,0.14089,161000,182
-2.3657,-1.19704,-0.957176,-0.477812,-2.50889,-1.34453,-4.29087,0.0489882,0.0661427,0.0849435,6.66981,0.199564,0.140469,162000,184
-2.31626,-1.28996,-1.06783,-0.323954,-2.21439,-1.33696,-3.91335,0.0297128,0.0744467,0.0601419,6.6041,0.198255,0.139272,163000,186
-2.27495,-1.16865,-0.945848,-0.458344,-2.41529,-1.38465,-3.43849,0.0265942,0.0802339,0.0571689,6.6014,0.198584,0.138236,164000,188
-2.33326,-1.24889,-0.990339,-0.400598,-2.36506,-1.37014,-3.49535,0.031952,0.0774877,0.0625292,6.74154,0.199411,0.139302,165000,190
-2.46729,-1.28802,-1.04274,-0.373857,-2.15211,-1.32844,-3.64694,0.0310057,0.0738084,0.0490655,6.70238,0.199353,0.138944,166000,192
-2.16806,-1.10077,-0.837579,-0.50706,-2.55521,-1.42886,-3.78736,0.0336822,0.0621875,0.0509539,6.67726,0.199855,0.138071,167000,194
