BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.14504,-1.3267,-1.16444,-0.54623,-1.25791,-0.845117,0.0761325,6.68687,0.197762,0.152678,187000,314
-2.19747,-1.52368,-1.38614,-0.436576,-0.908817,-0.807426,0.0778645,6.65748,0.200066,0.150492,188000,317
-2.24759,-1.58234,-1.44036,-0.285241,-0.824552,-0.728933,0.0666569,6.62352,0.199792,0.152791,189000,319
-2.32495,-1.62966,-1.52073,-0.368163,-0.599963,-0.718282,0.0734934,6.66285,0.199013,0.152775,190000,322
-2.4181,-1.5603,-1.3937,-0.402004,-0.872455,-0.714486,0.0872826,6.80146,0.201209,0.149587,191000,324
-2.22158,-1.46079,-1.34081,-0.479668,-0.948324,-0.770074,0.0747083,6.63431,0.197773,0.151556,192000,328
-2.14052,-1.31875,-1.17333,-0.508975,-1.37087,-0.814283,0.0872827,6.70793,0.197339,0.152404,193000,331
-2.2115,-1.2508,-1.09788,-0.584301,-1.45634,-0.88151,0.082942,6.70897,0.200324,0.151067,194000,334
-2.07472,-1.19828,-1.04965,-0.585212,-1.61271,-0.855745,0.0817842,6.59729,0.199591,0.150466,195000,337
-1.98822,-1.37003,-1.24803,-0.432996,-1.28615,-0.790275,0.0719006,6.6637,0.198694,0.147564,196000,339
-2.04207,-1.29606,-1.13453,-0.581121,-1.42009,-0.824506,0.0752818,6.6127,0.196511,0.149539,197000,341
-2.19539,-1.39391,-1.30061,-0.48255,-1.16087,-0.853346,0.0866678,6.66829,0.202286,0.150673,198000,343
-2.23464,-1.35134,-1.21945,-0.548944,-1.23117,-0.903634,0.0818916,6.65182,0.20085,0.14782,199000,347
-2.10528,-1.38647,-1.23259,-0.490315,-1.19843,-0.732848,0.0743739,6.71884,0.199375,0.150724,200000,349
-2.26371,-1.50428,-1.3711,-0.389998,-0.93549,-0.791115,0.0728859,6.78038,0.199571,0.15176,201000,353
-2.14232,-1.42116,-1.31411,-0.418656,-1.14231,-0.789426,0.0706175,6.65978,0.19732,0.147319,202000,355
-2.03469,-1.47257,-1.33165,-0.426191,-1.05858,-0.775746,0.0668096,6.60932,0.194081,0.149179,203000,358
-2.13502,-1.47428,-1.33337,-0.46979,-0.976386,-0.77728,0.0758353,6.59655,0.200451,0.150515,204000,361
-2.19706,-1.54976,-1.40048,-0.406835,-0.889617,-0.756289,0.0724294,6.66459,0.199091,0.149597,205000,365
-2.15248,-1.38379,-1.271,-0.510737,-1.12562,-0.802645,0.0742015,6.71334,0.197485,0.149106,206000,368
-1.95883,-1.19777,-1.0222,-0.555286,-1.6628,-0.895673,0.074373,6.57112,0.196904,0.150833,207000,371
-1.8996,-1.17717,-1.0724,-0.630373,-1.59379,-0.90366,0.0731026,6.5909,0.197598,0.14902,208000,375
-2.01004,-0.911863,-0.788921,-0.751596,-2.12053,-1.02926,0.088175,6.56819,0.196808,0.149159,209000,377
-1.9499,-1.11605,-0.989152,-0.566186,-1.77416,-0.847652,0.068294,6.68472,0.194505,0.149912,210000,379
-1.94644,-1.04596,-0.920149,-0.738164,-1.77501,-1.00963,0.0739116,6.60482,0.199521,0.15066,211000,382
-1.89497,-1.14714,-1.0053,-0.581948,-1.76307,-0.857619,0.0740839,6.73992,0.200774,0.150056,212000,386
-2.01444,-1.01891,-0.897542,-0.750143,-1.92566,-0.981445,0.090809,6.75312,0.198432,0.150262,213000,388
-1.99683,-1.02405,-0.930627,-0.774365,-1.83989,-0.936567,0.0818527,6.64994,0.199067,0.149244,214000,390
-1.9248,-0.975335,-0.856443,-0.783516,-1.99276,-0.946795,0.0821554,6.54068,0.197938,0.147434,215000,394
-1.97229,-1.08391,-0.952352,-0.66513,-1.85925,-0.880522,0.0869211,6.74766,0.202344,0.151744,216000,397
