BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.50795,-2.09517,-2.01198,0.060054,6.56529,0.198486,0.150865,235000,439
-2.63654,-2.10784,-1.9808,0.0704985,6.70283,0.200411,0.149317,236000,442
-2.52228,-2.08858,-1.98663,0.0552355,6.62544,0.199492,0.150221,237000,445
-2.50412,-2.10598,-2.00478,0.0495837,6.76547,0.198573,0.149638,238000,448
-2.60079,-2.08905,-2.02982,0.0560925,6.7239,0.197556,0.147319,239000,451
-2.54317,-2.10181,-2.00438,0.0579525,6.63102,0.197926,0.147245,240000,454
-2.48953,-2.09719,-1.96586,0.0517333,6.74596,0.200141,0.148564,241000,456
-2.49466,-2.09037,-2.01249,0.0547445,6.58863,0.198188,0.150555,242000,459
-2.57441,-2.12638,-1.99383,0.0614387,6.65403,0.199479,0.149386,243000,462
-2.54097,-2.12342,-2.01751,0.0526091,6.67864,0.200828,0.146079,244000,464
-2.52583,-2.11379,-2.01172,0.0557614,6.69771,0.198891,0.146686,245000,467
-2.535,-2.10231,-1.98326,0.0578543,6.71783,0.203793,0.150326,246000,469
-2.54213,-2.11913,-2.00668,0.0563321,6.61182,0.198292,0.147799,247000,472
-2.55042,-2.11961,-2.00058,0.0617174,6.63683,0.201323,0.149931,248000,474
-2.49882,-2.11737,-2.00827,0.056611,6.64333,0.198596,0.14961,249000,476
-2.47071,-2.09509,-1.99168,0.0513656,6.66102,0.198827,0.148118,250000,479
-2.47771,-2.1351,-1.97618,0.0574414,6.64005,0.200457,0.151042,251000,481
-2.48564,-2.08652,-1.98969,0.0575054,6.57133,0.202066,0.151531,252000,483
-2.53756,-2.10572,-2.0104,0.0637662,6.7211,0.194855,0.149769,253000,485
-2.51998,-2.10504,-2.00677,0.0594156,6.7625,0.199243,0.148805,254000,488
-2.60777,-2.11611,-1.99287,0.0701397,6.67316,0.198693,0.149962,255000,492
-2.55776,-2.11823,-2.00803,0.0561695,6.62678,0.199225,0.147501,256000,495
-2.51896,-2.13894,-2.05127,0.0621133,6.66505,0.197902,0.146228,257000,497
-2.47518,-2.11683,-2.00471,0.0580984,6.62009,0.196161,0.150295,258000,500
-2.58991,-2.12189,-1.98449,0.0600246,6.76823,0.198177,0.151963,259000,502
-2.50394,-2.1187,-2.03747,0.0552417,6.68956,0.200459,0.148419,260000,505
-2.50397,-2.10737,-2.04042,0.0575935,6.59892,0.197364,0.147765,261000,508
-2.51221,-2.09862,-2.01648,0.0528829,6.63224,0.200489,0.149868,262000,510
-2.53454,-2.11345,-1.99005,0.062564,6.58995,0.19881,0.150387,263000,512
-2.48081,-2.13281,-1.99819,0.0532145,6.65925,0.197236,0.147999,264000,515
-2.50459,-2.12305,-1.99579,0.0559234,6.8766,0.196411,0.149718,265000,519
-2.50853,-2.12016,-2.00811,0.0559032,6.73182,0.200668,0.149337,266000,521
-2.54578,-2.11976,-1.99105,0.059083,6.6722,0.202243,0.149174,267000,525
-2.64473,-2.10944,-1.99478,0.0653846,6.60169,0.196636,0.149481,268000,528
-2.53557,-2.13904,-2.05036,0.065001,6.63941,0.198807,0.147647,269000,531
-2.53652,-2.11437,-2.00682,0.059571,6.63869,0.200348,0.150628,270000,534
-2.44312,-2.12335,-2.01237,0.053455,6.64639,0.199012,0.148235,271000,537
-2.52055,-2.13969,-2.01703,0.060304,6.66067,0.197272,0.149643,272000,539
-2.56632,-2.13903,-2.01426,0.0637393,6.64253,0.200544,0.147859,273000,542
-2.58234,-2.11881,-2.04823,0.0593077,6.51466,0.199261,0.147737,274000,545
-2.54804,-2.11587,-2.02707,0.0671706,6.71808,0.20073,0.147313,275000,548
-2.55203,-2.14013,-2.02041,0.0599408,6.57766,0.199242,0.149329,276000,552
-2.49546,-2.11706,-2.00211,0.0589054,6.71259,0.200514,0.148299,277000,554
-2.51612,-2.09122,-2.00266,0.0580034,6.60713,0.194042,0.148079,278000,556
-2.48916,-2.07055,-2.02761,0.056405,6.58694,0.196253,0.148786,279000,559
-2.517,-2.10148,-1.99381,0.0559143,6.6534,0.202021,0.149995,280000,561
-2.577,-2.11623,-2.00352,0.0607986,6.55968,0.196601,0.151205,281000,564
-2.52429,-2.13097,-2.02584,0.0561604,6.67855,0.196978,0.147339,282000,567
-2.61052,-2.1302,-2.03158,0.0671017,6.66839,0.199887,0.147327,283000,569
-2.59039,-2.14179,-1.99925,0.0628616,6.7218,0.198287,0.148133,284000,571
-2.48428,-2.10765,-2.01752,0.0540773,6.64786,0.198206,0.149173,285000,574
-2.48722,-2.12797,-1.98429,0.0591988,6.64632,0.198851,0.147853,286000,576
-2.60091,-2.14991,-2.00729,0.0634456,6.56199,0.19954,0.146618,287000,578
